GeneName,log2FoldChange(WTC_kvsKOC_k),padj(WTC_kvsKOC_k),log2FoldChange(WTKvsKOK),padj(WTKvsKOK),log2FoldChange(WTC_k24vsKOC_k24),padj(WTC_k24vsKOC_k24),log2FoldChange(WTK24vsKOK24),padj(WTK24vsKOK24),log2FoldChange(KOC_kvsKOK),padj(KOC_kvsKOK),log2FoldChange(WTC_kvsWTK),padj(WTC_kvsWTK),log2FoldChange(KOC_k24vsKOK24),padj(KOC_k24vsKOK24),log2FoldChange(WTC_k24vsWTK24),padj(WTC_k24vsWTK24)
Zranb2,-0.036215424,0.95012,-0.198218111,0.72476,0.297546505,0.82621,0.041607117,0.93215,0.155158558,0.41034,0.298819476,0.16817,-0.154004146,0.77977,0.115098946,0.97252
Lrriq3,0.64114433,0.58609,-0.213286884,0.86978,0.237108381,0.92674,0.884834498,0.021436,0.120859376,0.87575,0.955102306,0.037109,0.210739501,0.7734,-0.422992228,0.86567
Dnase2b,-0.052355749,0.94108,-0.166207538,0.7853,-0.260805533,0.89012,0.18534515,0.54247,-0.657914711,0.0010537,-0.560925182,0.0028352,-0.049903177,0.94771,-0.481387516,0.41472
Lphn2,-0.04623513,0.95438,0.238268751,0.74178,-0.35335451,0.85041,-0.192028801,0.6941,-0.461931221,0.10431,-0.761606577,0.00039154,-0.338307557,0.38177,-0.483251488,0.74561
Rpf1,-0.198736976,0.50217,0.023042175,0.9726,-0.107617498,0.9349,0.074763772,0.82871,0.212158086,0.26834,-0.025560194,0.9148,0.040850482,0.94771,-0.127029718,0.93839
Uox,-0.096251504,0.84532,0.066833571,0.92325,0.161366392,0.88986,0.442345721,0.017755,-0.466883973,0.020396,-0.646126086,0.00034193,0.140657908,0.74927,-0.125462023,0.90906
Ctbs,-0.110026905,0.88772,-0.273481617,0.57127,0.170372488,0.93725,0.183831217,0.50118,0.12067597,0.65568,0.26664822,0.30607,0.352114227,0.44919,0.352951774,0.79369
Spata1,-0.131432288,0.91916,-0.006442438,0.99536,-0.07072698,0.96764,0.083436691,0.87723,0.601946143,0.20492,0.45707149,0.23205,0.219775935,0.73831,0.080014347,0.98919
Ptprh,2.438373706,0,-0.233766012,0,1.145929591,0,-0.848217255,0,-0.911545195,0,1.735135909,0,-1.876793983,0,0.131873065,0
Mageb4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fam170a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sap30bp,-0.202673543,0.41393,-0.001154485,0.99844,-0.1759026,0.91045,0.044910044,0.88791,-0.060603922,0.81651,-0.278836543,0.077645,0.024835993,0.96314,-0.181595628,0.90834
Recql5,0.052794122,0.93696,0.124355231,0.80221,0.019214079,0.98911,-0.308495239,0.41011,-0.0644864,0.80149,-0.15279833,0.39205,-0.14406154,0.82392,0.198756539,0.92084
Itgb4,0.837820642,0.47016,0.449721818,0.73708,0.725955382,0.79049,-0.155924689,0.89698,-0.346952316,0.69262,0.019315237,0.96307,-1.001105988,0.27822,-0.105250494,0.99097
Ahnak,0.135840917,0.81007,-0.226102857,0.7444,0.06339041,0.97907,0.12221362,0.76247,0.401685066,0.1745,0.746344183,0.00016455,-0.153804921,0.7047,-0.197887901,0.94361
Nlrp1a,-0.55052116,0,-0.33408618,0,0.625657379,0,-2.601115527,0,1.036905751,0,0.809654644,0,-3.036434081,0,0.195065923,0
Atp6v0d2,-0.542340737,0.79993,-1.970951866,0.0019049,-1.244266485,0.78096,0.290305328,0.72284,-0.626792276,0.47485,0.781810969,0.22069,1.08151021,0.28282,-0.437387147,0.96139
Cdk10,-0.035765043,0.95056,0.127014822,0.77114,-0.058479851,0.97196,0.09992833,0.76881,0.101976996,0.60449,-0.078428423,0.67179,0.118051032,0.77612,-0.02510825,0.99447
Klf9,0.172908226,0.64906,0.132120243,0.87021,-0.14727826,0.91284,-0.163591777,0.70649,-0.135188083,0.66456,-0.108257426,0.69756,-0.094275072,0.85456,-0.061731587,0.98919
Fgg,-0.320206619,0.037666,0.149426889,0.85196,-0.211270523,0.91802,-0.634372669,0.046205,-1.127108872,2.27E-08,-1.613068724,7.60E-18,-0.089123723,0.91655,0.34759786,0.8289
Sat2,-0.370920416,0.20859,-0.072651388,0.91656,0.165206726,0.91556,0.326830652,0.23086,-0.000275607,0.98825,-0.315869281,0.17309,0.390718465,0.16497,0.244093119,0.88138
Tgs1,0.089892343,0.8747,0.016495156,0.9795,-0.103092267,0.94161,0.138174177,0.63166,0.264511403,0.14082,0.319418613,0.14312,0.073602001,0.8856,-0.152633653,0.92893
Tmem68,-0.272357041,0.34593,-0.230191073,0.7224,0.071333471,0.97907,0.26563782,0.50197,0.402487999,0.20673,0.343090617,0.06654,0.215220048,0.70146,0.035736297,0.99611
Sdr16c5,1.19069157,0.76793,2.329155593,0.22447,-0.272074591,0,2.351116055,0,1.347157821,0,0.194313972,0,1.645942408,0,-0.971262926,0
Rps20,-0.085969334,0.8221,-0.187133225,0.85272,0.245332902,0.91284,0.233437381,0.55059,0.369454039,0.30693,0.452266796,0.047922,0.057431879,0.94703,0.082788837,0.98787
Olfr779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
